timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00,-1.300009,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.002000,-1.300019,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.004000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.006000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.008000,-1.299999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.010000,-1.3000289999999999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.012000,-1.3000289999999999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.014000,-1.299979,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.016000,-1.299979,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.018000,-1.299999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.020000,-1.300039,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.022000,-1.299999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.024000,-1.299969,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.026000,-1.299969,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.028000,-1.299999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.030000,-1.299999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.032000,-1.299979,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.034000,-1.299969,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.036000,-1.299969,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.038000,-1.299999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.040000,-1.300019,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.042000,-1.299979,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.044000,-1.299979,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.046000,-1.300009,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.048000,-1.300039,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.050000,-1.3000289999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.052000,-1.299979,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.054000,-1.299969,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.056000,-1.299999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.058000,-1.3000289999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.060000,-1.300009,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.062000,-1.2999589999999999,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.064000,-1.299979,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.066000,-1.300009,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.068000,-1.300039,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.070000,-1.300009,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.072000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.074000,-1.299999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.076000,-1.300049,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.078000,-1.300039,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.080000,-1.2999589999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.082000,-1.299979,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.084000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.086000,-1.3000289999999999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.088000,-1.300009,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.090000,-1.299989,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.092000,-1.299989,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.094000,-1.300019,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.096000,-1.300049,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.098000,-1.300009,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.100000,-1.299979,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.102000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.104000,-1.3000289999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.106000,-1.300039,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.108000,-1.299999,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.110000,-1.299989,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.112000,-1.300009,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.114000,-1.300059,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.116000,-1.3000289999999999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.118000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.120000,-1.299989,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.122000,-1.3000289999999999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.124000,-1.3000289999999999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.126000,-1.300009,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.128000,-1.299969,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.130000,-1.299999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.132000,-1.300009,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.134000,-1.300039,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.136000,-1.299989,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.138000,-1.299979,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.140000,-1.299989,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.142000,-1.300019,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.144000,-1.300009,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.146000,-1.2999589999999999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.148000,-1.299969,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.150000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.152000,-1.3000289999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.154000,-1.299999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.156000,-1.299989,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.158000,-1.299989,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.160000,-1.299999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.162000,-1.3000289999999999,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.164000,-1.299989,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.166000,-1.299969,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.168000,-1.299979,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.170000,-1.3000289999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.172000,-1.300119,-3.49995,0.0,0.0,38195.999969
0 days 00:00:00.174000,-1.300209,-3.49987,0.0,0.0,38195.999969
0 days 00:00:00.176000,-1.300389,-3.49976,0.0,0.0,38195.999969
0 days 00:00:00.178000,-1.3005390000000001,-3.49969,0.0,0.0,38195.999969
0 days 00:00:00.180000,-1.300609,-3.49968,0.0,0.0,38195.999969
0 days 00:00:00.182000,-1.300559,-3.49977,0.0,0.0,38195.999969
0 days 00:00:00.184000,-1.300359,-3.49992,0.0,0.0,38195.999969
0 days 00:00:00.186000,-1.300169,-3.50012,0.0,0.0,38195.999969
0 days 00:00:00.188000,-1.3000289999999999,-3.50031,0.0,0.0,38195.999969
0 days 00:00:00.190000,-1.299999,-3.50043,0.0,0.0,38195.999969
0 days 00:00:00.192000,-1.299969,-3.50047,0.0,0.0,38195.999969
0 days 00:00:00.194000,-1.299999,-3.50041,0.0,0.0,38195.999969
0 days 00:00:00.196000,-1.300069,-3.50028,0.0,0.0,38195.999969
0 days 00:00:00.198000,-1.300219,-3.50014,0.0,0.0,38195.999969
0 days 00:00:00.200000,-1.300339,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.202000,-1.3002690000000001,-3.4999000000000002,0.0,0.0,38195.999969
0 days 00:00:00.204000,-1.300159,-3.49989,0.0,0.0,38195.999969
0 days 00:00:00.206000,-1.300019,-3.4999000000000002,0.0,0.0,38195.999969
0 days 00:00:00.208000,-1.299999,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.210000,-1.300019,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.212000,-1.299979,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.214000,-1.299979,-3.50012,0.0,0.0,38195.999969
0 days 00:00:00.216000,-1.3000289999999999,-3.50017,0.0,0.0,38195.999969
0 days 00:00:00.218000,-1.300169,-3.50012,0.0,0.0,38195.999969
0 days 00:00:00.220000,-1.300319,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.222000,-1.300379,-3.49984,0.0,0.0,38195.999969
0 days 00:00:00.224000,-1.300349,-3.49981,0.0,0.0,38195.999969
0 days 00:00:00.226000,-1.3002989999999999,-3.49985,0.0,0.0,38195.999969
0 days 00:00:00.228000,-1.300309,-3.49987,0.0,0.0,38195.999969
0 days 00:00:00.230000,-1.300239,-3.49987,0.0,0.0,38195.999969
0 days 00:00:00.232000,-1.300159,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.234000,-1.300049,-3.50006,0.0,0.0,38195.999969
0 days 00:00:00.236000,-1.300059,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.238000,-1.300039,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.240000,-1.300019,-3.50007,0.0,0.0,38195.999969
0 days 00:00:00.242000,-1.2999589999999999,-3.50006,0.0,0.0,38195.999969
0 days 00:00:00.244000,-1.299899,-3.50003,0.0,0.0,38195.999969
0 days 00:00:00.246000,-1.299919,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.248000,-1.299969,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.250000,-1.299909,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.252000,-1.299909,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.254000,-1.299909,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.256000,-1.299999,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.258000,-1.300129,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.260000,-1.300059,-3.49992,0.0,0.0,38195.999969
0 days 00:00:00.262000,-1.300089,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.264000,-1.300059,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.266000,-1.300069,-3.50008,0.0,0.0,38195.999969
0 days 00:00:00.268000,-1.300039,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.270000,-1.2999589999999999,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.272000,-1.300019,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.274000,-1.300009,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.276000,-1.300079,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.278000,-1.2999589999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.280000,-1.299919,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.282000,-1.299909,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.284000,-1.2999589999999999,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.286000,-1.299909,-3.49995,0.0,0.0,38195.999969
0 days 00:00:00.288000,-1.299869,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.290000,-1.299849,-3.49995,0.0,0.0,38195.999969
0 days 00:00:00.292000,-1.299919,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.294000,-1.2999589999999999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.296000,-1.299919,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.298000,-1.299879,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.300000,-1.2999589999999999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.302000,-1.300019,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.304000,-1.300119,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.306000,-1.300039,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.308000,-1.299899,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.310000,-1.299899,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.312000,-1.2999290000000001,-3.5,0.0,0.0,38195.999969
0 days 00:00:00.314000,-1.300039,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.316000,-1.2999290000000001,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.318000,-1.299919,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.320000,-1.299919,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.322000,-1.300059,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.324000,-1.300019,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.326000,-1.299989,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.328000,-1.299909,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.330000,-1.299919,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.332000,-1.2999589999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.334000,-1.299919,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.336000,-1.299899,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.338000,-1.299899,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.340000,-1.299999,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.342000,-1.300049,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.344000,-1.299939,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.346000,-1.2998889999999999,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.348000,-1.2999290000000001,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.350000,-1.300039,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.352000,-1.300019,-3.49993,0.0,0.0,38195.999969
0 days 00:00:00.354000,-1.299919,-3.4999700000000002,0.0,0.0,38195.999969
0 days 00:00:00.356000,-1.299909,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.358000,-1.299979,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.360000,-1.300119,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.362000,-1.300129,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.364000,-1.300039,-3.50003,0.0,0.0,38195.999969
0 days 00:00:00.366000,-1.300009,-3.5000400000000003,0.0,0.0,38195.999969
