timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00,-165.441125,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.002000,-165.441125,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.004000,-165.441135,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.006000,-165.441125,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.008000,-165.441135,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.010000,-165.441135,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.012000,-165.441135,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.014000,-165.441145,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.016000,-165.441135,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.018000,-165.441165,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.020000,-165.441165,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.022000,-165.441155,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.024000,-165.441155,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.026000,-165.441135,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.028000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.030000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.032000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.034000,-165.441125,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.036000,-165.441135,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.038000,-165.441125,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.040000,-165.441125,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.042000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.044000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.046000,-165.441115,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.048000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.050000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.052000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.054000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.056000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.058000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.060000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.062000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.064000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.066000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.068000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.070000,-165.441075,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.072000,-165.441065,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.074000,-165.441075,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.076000,-165.441075,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.078000,-165.441065,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.080000,-165.441085,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.082000,-165.441065,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.084000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.086000,-165.441055,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.088000,-165.441055,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.090000,-165.441055,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.092000,-165.441065,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.094000,-165.441075,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.096000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.098000,-165.441105,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.100000,-165.441105,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.102000,-165.441125,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.104000,-165.441115,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.106000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.108000,-165.441095,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.110000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.112000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.114000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.116000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.118000,-165.441075,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.120000,-165.441085,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.122000,-165.441095,208.004009,0.0,0.0,2471.999998
